"","Word","Frequency","Percentage"
"1","lus",62,3.086112493778
"2","spectrum",37,1.84171229467397
"3","bandwidth",34,1.69238427078148
"4","sps",34,1.69238427078148
"5","connections",31,1.543056246889
"6","sps92",31,1.543056246889
"7","rate",30,1.49328023892484
"8","roaming",27,1.34395221503235
"9","sharing",27,1.34395221503235
"10","equilibrium",26,1.29417620706819
"11","price",26,1.29417620706819
"12","cooperative",22,1.09507217521155
"13","wireless",21,1.04529616724739
"14","demand",18,0.895968143354903
"15","heterogeneous",18,0.895968143354903
"16","scheme",18,0.895968143354903
"17","optimal",17,0.846192135390742
"18","therefore",16,0.79641612742658
"19","function",15,0.746640119462419
"20","spi",15,0.746640119462419
"21","incentives",14,0.696864111498258
"22","networks",14,0.696864111498258
"23","ieee",13,0.647088103534097
"24","leverage",13,0.647088103534097
"25","service",13,0.647088103534097
"26","adaptive",12,0.597312095569935
"27","iterative",12,0.597312095569935
"28","local",12,0.597312095569935
"29","access",11,0.547536087605774
"30","market",11,0.547536087605774
"31","may",11,0.547536087605774
"32","model",11,0.547536087605774
"33","allocated",10,0.497760079641613
"34","based",10,0.497760079641613
"35","expectation",10,0.497760079641613
"36","extra",10,0.497760079641613
"37","network",10,0.497760079641613
"38","profit",10,0.497760079641613
"39","section",10,0.497760079641613
"40","wns",10,0.497760079641613
"41","algorithm",9,0.447984071677451
"42","algorithms",9,0.447984071677451
"43","ascent",9,0.447984071677451
"44","gradient",9,0.447984071677451
"45","naive",9,0.447984071677451
"46","obtain",9,0.447984071677451
"47","pricing",9,0.447984071677451
"48","revenue",9,0.447984071677451
"49","vol",9,0.447984071677451
"50","different",8,0.39820806371329
"51","due",8,0.39820806371329
"52","dynamic",8,0.39820806371329
"53","multiple",8,0.39820806371329
"54","problem",8,0.39820806371329
"55","satisfactory",8,0.39820806371329
"56","social",8,0.39820806371329
"57","stability",8,0.39820806371329
"58","welfare",8,0.39820806371329
"59","communications",7,0.348432055749129
"60","functions",7,0.348432055749129
"61","information",7,0.348432055749129
"62","maximize",7,0.348432055749129
"63","method",7,0.348432055749129
"64","qos",7,0.348432055749129
"65","radio",7,0.348432055749129
"66","supply",7,0.348432055749129
"67","temporarily",7,0.348432055749129
"68","93a",6,0.298656047784968
"69","economics",6,0.298656047784968
"70","gain",6,0.298656047784968
"71","given",6,0.298656047784968
"72","jacobian",6,0.298656047784968
"73","matrix",6,0.298656047784968
"74","networks94",6,0.298656047784968
"75","overall",6,0.298656047784968
"76","per",6,0.298656047784968
"77","proposes",6,0.298656047784968
"78","stable",6,0.298656047784968
"79","2009",5,0.248880039820806
"80","2010",5,0.248880039820806
"81","cognitive",5,0.248880039820806
"82","conditions",5,0.248880039820806
"83","conference",5,0.248880039820806
"84","future",5,0.248880039820806
"85","however",5,0.248880039820806
"86","incentive",5,0.248880039820806
"87","maximizes",5,0.248880039820806
"88","obtained",5,0.248880039820806
"89","order",5,0.248880039820806
"90","payoff",5,0.248880039820806
"91","proposed",5,0.248880039820806
"92","services",5,0.248880039820806
"93","simultaneously",5,0.248880039820806
"94","use",5,0.248880039820806
"95","using",5,0.248880039820806
"96","value",5,0.248880039820806
"97","2005",4,0.199104031856645
"98","achieve",4,0.199104031856645
"99","allocation",4,0.199104031856645
"100","among",4,0.199104031856645
"101","approach",4,0.199104031856645
"102","area",4,0.199104031856645
"103","auction",4,0.199104031856645
"104","backward",4,0.199104031856645
"105","coverage",4,0.199104031856645
"106","economic",4,0.199104031856645
"107","induction",4,0.199104031856645
"108","learning",4,0.199104031856645
"109","low",4,0.199104031856645
"110","nonlinear",4,0.199104031856645
"111","novel",4,0.199104031856645
"112","reach",4,0.199104031856645
"113","respectively",4,0.199104031856645
"114","results",4,0.199104031856645
"115","satisfaction",4,0.199104031856645
"116","spectrumbandwidth",4,0.199104031856645
"117","sum",4,0.199104031856645
"118","two",4,0.199104031856645
"119","users",4,0.199104031856645
"120","utility",4,0.199104031856645
"121","zero",4,0.199104031856645
"122","92s",3,0.149328023892484
"123","accordingly",3,0.149328023892484
"124","adaption",3,0.149328023892484
"125","adopt",3,0.149328023892484
"126","aid",3,0.149328023892484
"127","analysis",3,0.149328023892484
"128","analyzed",3,0.149328023892484
"129","attempt",3,0.149328023892484
"130","believes",3,0.149328023892484
"131","bii",3,0.149328023892484
"132","can",3,0.149328023892484
"133","challenge",3,0.149328023892484
"134","concept",3,0.149328023892484
"135","consider",3,0.149328023892484
"136","data",3,0.149328023892484
"137","dec",3,0.149328023892484
"138","decentralized",3,0.149328023892484
"139","discuss",3,0.149328023892484
"140","effective",3,0.149328023892484
"141","eigenvalues",3,0.149328023892484
"142","fact",3,0.149328023892484
"143","following",3,0.149328023892484
"144","follows",3,0.149328023892484
"145","greatly",3,0.149328023892484
"146","high",3,0.149328023892484
"147","international",3,0.149328023892484
"148","iterations",3,0.149328023892484
"149","less",3,0.149328023892484
"150","level",3,0.149328023892484
"151","lus92",3,0.149328023892484
"152","mechanism",3,0.149328023892484
"153","mobile",3,0.149328023892484
"154","mpbs",3,0.149328023892484
"155","networking",3,0.149328023892484
"156","next",3,0.149328023892484
"157","one",3,0.149328023892484
"158","optimization",3,0.149328023892484
"159","paper",3,0.149328023892484
"160","period",3,0.149328023892484
"161","previous",3,0.149328023892484
"162","propose",3,0.149328023892484
"163","providers",3,0.149328023892484
"164","providing",3,0.149328023892484
"165","range",3,0.149328023892484
"166","required",3,0.149328023892484
"167","resource",3,0.149328023892484
"168","satisfy",3,0.149328023892484
"169","scenario",3,0.149328023892484
"170","selfmapping",3,0.149328023892484
"171","sept",3,0.149328023892484
"172","serve",3,0.149328023892484
"173","sp3",3,0.149328023892484
"174","spj",3,0.149328023892484
"175","spk92s",3,0.149328023892484
"176","summarized",3,0.149328023892484
"177","three",3,0.149328023892484
"178","total",3,0.149328023892484
"179","transactions",3,0.149328023892484
"180","transmission",3,0.149328023892484
"181","unchanged",3,0.149328023892484
"182","will",3,0.149328023892484
"183","2008",2,0.0995520159283226
"184","2011",2,0.0995520159283226
"185","9797",2,0.0995520159283226
"186","additional",2,0.0995520159283226
"187","adoption",2,0.0995520159283226
"188","also",2,0.0995520159283226
