"","x.before","x.after"
"business",2.68625,3.39
"social",2.29375,4.065
"people",1.3275,2.395
"sharing",0.65,1.2775
"sharingeconomy",0.43125,0.4075
"economy",0.99625,1.25
"services",0.855,1.0225
"share",0.771875,1.11
"world",1.175625,1.8525
"technology",1.083125,2.3575
"companies",0.625625,0.8125
"community",1.19375,1.47
"work",0.960625,1.31
"research",0.95,2.3625
"design",0.9675,3.1775
"collaborativeconsumption",0.135,0.305
"marketing",0.903125,1.45
"service",0.703125,0.97
"company",0.7175,0.745
"global",0.851875,1.1025
"economic",0.814375,0.9
"innovation",0.63875,1.7625
"digital",0.6725,1.2075
"money",0.72,0.6525
"development",0.795,2.3275
"facebook",0.48875,0.94
"car",0.339375,0.68
"help",0.6125,0.755
"mobile",0.641875,0.7375
"public",0.850625,1.1075
"collaborativeconomy",0.055625,0.32
"international",0.519375,3.9975
"local",0.61875,0.985
"systems",0.674375,2.26
"internet",0.784375,0.65
"model",0.405625,0.9225
"industry",0.6,0.805
"network",0.6875,0.695
"access",0.488125,0.62
"airbnb",0.071875,0
"software",0.619375,1.5025
"city",0.52875,0.6625
"green",1.04625,0.6
"group",0.645625,0.7625
"energy",0.74,0.9275
"experience",0.481875,0.65
"food",0.470625,1.005
"privacy",0.4025,0.58
"businesses",0.213125,0.3475
"uber",0,0
"growth",0.370625,0.5475
"law",0.714375,0.795
"conference",0.291875,3.5775
"customer",0.280625,0.5175
"university",0.4925,1.555
"financial",0.540625,0.475
"jobs",0.359375,0.7675
"used",0.359375,0.42
"science",0.335,1.6825
"consumer",0.309375,0.3825
"collaborative",0.131875,0.4575
"society",0.369375,1.285
"space",0.19875,0.605
"capital",0.55,0.3525
"culture",0.391875,0.5475
"sustainable",0.314375,0.95
"tech",0.3225,0
"customers",0.166875,0.3175
"books",0.399375,0.5725
"ideas",0.316875,0.425
"personal",0.3525,0.535
"recent",0.425625,0.445
"government",0.511875,0.5025
"corporate",0.54125,0.485
"communities",0.413125,0.5075
"users",0.2375,0.335
"health",0.436875,0.5925
"platform",0.30625,0
"learn",0.33375,0.3925
"working",0.31625,0.505
"trust",0.098125,0
"goods",0.075625,0
"team",0.281875,0.505
"building",0.3425,0.5475
"job",0.34625,0.43
"cities",0.175,0.34
"state",0.42375,0.4825
"impact",0.319375,0.38
"markets",0.3275,0
"user",0.3675,0.48
"travel",0.280625,0
"finance",0.34125,0.41
"climate",0.35625,0.6925
"consumers",0.069375,0
"startups",0.0875,0
"learning",0.295,1.625
"environment",0.310625,0.6375
"members",0.33625,0.3625
"cost",0.274375,0
"provide",0.22125,0.3425
"collaboration",0.0675,0.5775
"sustainability",0.340625,0.6
"trends",0.20625,0.3475
"startup",0.200625,0
"sales",0.29625,0.3175
"security",0.32375,0.5625
"cars",0,0
"peertopeer",0,0
"private",0.310625,0.3275
"enterprise",0.27875,0.505
"shared",0,0
"economics",0.4275,0
"platforms",0,0
"brand",0.083125,0.415
"app",0.0975,0
"states",0.311875,0.3125
"demand",0.07,0
"national",0.333125,0.4875
"production",0.37375,0
"ownership",0.06375,0.37
"together",0.119375,0.3525
"rise",0,0
"legal",0.43125,0.4225
"benefits",0.12625,0
"music",0.325625,0.61
"ondemand",0,0
"advertising",0.305625,0.57
"technologies",0.23375,0.4675
"opportunities",0.113125,0.32
"billion",0.196875,0
"workers",0,0
"drivers",0.073125,0
"rent",0,0
"member",0.3375,0.3625
"traditional",0.0525,0
"environmental",0.265625,0.6225
"consumption",0.130625,0
"costs",0.121875,0
"politics",0.175625,0.4325
"american",0.328125,0.5175
"leadership",0.3275,0.3625
"investment",0.37,0
"funding",0.19625,0
"house",0.250625,0
"problem",0.164375,0.445
"europe",0.11,0.33
"london",0.171875,1.1475
"political",0.3175,0.47
"brands",0,0
"changing",0,0.3075
"past",0.0825,0
"transportation",0.150625,0
"price",0.14875,0.3225
"connect",0,0
"lyft",0,0
"trend",0,0
"entrepreneurs",0,0
"smart",0.1675,0.425
"tax",0.275625,0.3225
"rental",0,0
"quality",0.12875,0.325
"care",0.13625,0.385
"risk",0.255625,0.3725
"theory",0.165,0.6225
"china",0.186875,0.45
"renting",0,0
"opportunity",0,0
"zipcar",0,0
"european",0.049375,0.8475
"p2p",0.074375,0
"institute",0.266875,0.3775
"countries",0.19625,0.32
"virtual",0.131875,0.475
"hotel",0.054375,0
"apps",0,0
"oil",0.1875,0
"carbon",0.238125,0.3625
"performance",0.23125,0.3725
"oxford",0.203125,0.4825
"taxi",0,0
"offers",0,0
"driver",0.08375,0
"corporations",0.205,0
"friends",0,0
"buying",0,0
"manufacturing",0,0.3725
"employees",0,0
"adobe",0,0
"challenges",0.051875,0.3575
"rachelbotsman",0,0
"income",0,0
"president",0.179375,0
"library",0.194375,0
"family",0.263125,0
"crowdfunding",0.11375,0
"ondemandeconomy",0,0
"urban",0.093125,0
"retail",0.1125,0
"waste",0.068125,0.3625
"association",0.1325,0.4125
"organization",0.058125,0.31
"groups",0.145,0.305
"room",0,0
"safety",0.05,0
"drive",0,0
"crisis",0.04875,0
"regulation",0,0
"canada",0,0.4425
"taskrabbit",0,0
"entrepreneurship",0.19125,0
"nature",0.116875,0
"jeremiahowyang",0,0
"usa",0,0.75
"michigan",0.1875,0
"israel",0.183125,0
"rules",0.0625,0
"fuel",0.18,0
"hardware",0.06375,0
"cultural",0.1775,0
"board",0.175,0
"amazon",0.09625,0
"infographic",0.10125,0
"regulations",0,0
"providers",0,0
"students",0,0
"ride",0,0
"carsharing",0,0
"seats",0,0
"crowdsourcing",0,0
"employment",0.07,0
"coworking",0,0
"programmeoxford",0.15125,0
"driving",0,0
"foundation",0,0
"career",0.061875,0
"individual",0.056875,0
"works",0.051875,0
"blogs",0.14625,0
"independent",0,0
"africa",0,0.56
"sell",0,0
"apple",0.138125,0
"tourism",0,0
"lifestyle",0.13375,0
"natural",0.044375,0.3375
"owners",0.05125,0
"california",0.065625,0
