"","x.before","x.after"
"business",3.4275,3.89
"social",2.890625,3.0775
"people",2.0303125,3.2425
"sharing",1.4465625,2.9
"sharingeconomy",0.809375,3.5225
"economy",1.340625,1.575
"services",1.0634375,1.8625
"share",1.220625,2.0775
"world",1.4440625,1.41
"technology",1.32375,1.3775
"companies",0.880625,1.915
"community",1.3721875,1.0825
"work",1.1503125,1.085
"research",1.195,1.27
"design",1.44625,0.7975
"collaborativeconsumption",0.921875,2.0075
"marketing",1.0528125,1.4775
"service",0.8934375,1.24
"company",0.8496875,1.02
"global",0.993125,0.785
"economic",0.915,0.885
"innovation",0.9996875,0.7525
"digital",0.8184375,0.995
"money",0.8003125,1.0625
"development",0.9940625,0.4275
"facebook",0.7475,1
"car",0.651875,1.355
"help",0.7728125,0.9025
"mobile",0.7,0.99
"public",0.7934375,0.71
"collaborativeconomy",0.255,1.9525
"international",0.9603125,0.365
"local",0.7359375,0.905
"systems",0.8790625,0.5
"internet",0.759375,0.7125
"model",0.63375,1.1
"industry",0.66,0.725
"network",0.71,0.6
"access",0.5746875,0.805
"airbnb",0.2565625,1.485
"software",0.745,0.4325
"city",0.5859375,0.6875
"green",0.808125,0.2725
"group",0.643125,0.6675
"energy",0.7271875,0.345
"experience",0.5275,0.785
"food",0.57875,0.6175
"privacy",0.489375,0.7825
"businesses",0.423125,0.7975
"uber",0,0.5575
"growth",0.47625,0.6475
"law",0.6090625,0.4
"conference",0.631875,0.325
"customer",0.45375,0.6525
"university",0.58875,0.3425
"financial",0.5165625,0.49
"jobs",0.450625,0.5475
"used",0.471875,0.585
"science",0.5625,0.4375
"consumer",0.4040625,0.73
"collaborative",0.431875,0.685
"society",0.5275,0.3725
"space",0.4103125,0.7225
"capital",0.4690625,0.5675
"culture",0.47,0.5625
"sustainable",0.5075,0.3475
"tech",0.335,0.6025
"customers",0.3459375,0.675
"books",0.521875,0.4875
"ideas",0.476875,0.525
"personal",0.46375,0.43
"recent",0.4490625,0.4525
"government",0.471875,0.2675
"corporate",0.4884375,0.37
"communities",0.4803125,0.3775
"users",0.415625,0.5825
"health",0.4428125,0.3825
"platform",0.34625,0.615
"learn",0.4228125,0.5475
"working",0.423125,0.4125
"trust",0.3309375,0.46
"goods",0.2534375,0.75
"team",0.3834375,0.6125
"building",0.415,0.39
"job",0.37625,0.3825
"cities",0.2715625,0.5875
"state",0.401875,0.2875
"impact",0.3734375,0.455
"markets",0.3384375,0.495
"user",0.4028125,0.355
"travel",0.2928125,0.5675
"finance",0.36125,0.475
"climate",0.408125,0.27
"consumers",0.2165625,0.7475
"startups",0.1621875,0.9
"learning",0.513125,0
"environment",0.3928125,0.2525
"members",0.3509375,0.41
"cost",0.3171875,0.3275
"provide",0.29375,0.44
"collaboration",0.3240625,0.2875
"sustainability",0.350625,0.285
"trends",0.2825,0.6275
"startup",0.231875,0.57
"sales",0.31875,0.285
"security",0.3046875,0.3
"cars",0.1815625,0.73
"peertopeer",0.174375,0.6925
"private",0.28875,0.3625
"enterprise",0.3503125,0.2575
"shared",0.20375,0.6725
"economics",0.3428125,0
"platforms",0.1225,0.5875
"brand",0.2296875,0.43
"app",0.1765625,0.4775
"states",0.2775,0.43
"demand",0.17875,0.465
"national",0.36125,0
"production",0.4090625,0
"ownership",0.233125,0.5175
"together",0.27375,0.4125
"rise",0.2265625,0.475
"legal",0.2684375,0.285
"benefits",0.1915625,0.3775
"music",0.336875,0.3625
"ondemand",0,0
"advertising",0.303125,0.275
"technologies",0.2725,0
"opportunities",0.2134375,0.345
"billion",0.1796875,0.385
"workers",0.1121875,0
"drivers",0.0365625,0.395
"rent",0.1071875,0.8775
"member",0.3190625,0.255
"traditional",0.1284375,0.555
"environmental",0.341875,0
"consumption",0.204375,0.3575
"costs",0.198125,0.28
"politics",0.2103125,0.345
"american",0.2728125,0
"leadership",0.308125,0
"investment",0.268125,0.2925
"funding",0.1596875,0.4375
"house",0.16375,0.2975
"problem",0.2340625,0
"europe",0.1721875,0.36
"london",0.229375,0.315
"political",0.258125,0
"brands",0.0403125,0.4875
"changing",0.1625,0
"past",0.1165625,0.3025
"transportation",0.123125,0
"price",0.1146875,0.26
"connect",0.0834375,0.38
"lyft",0,0.425
"trend",0.0846875,0.465
"entrepreneurs",0.1021875,0.375
"smart",0.1859375,0.3175
"tax",0.178125,0
"rental",0.04,0.53
"quality",0.1434375,0.255
"care",0.11625,0
"risk",0.208125,0
"theory",0.2025,0
"china",0.1996875,0
"renting",0.0415625,0.49
"opportunity",0.074375,0.3075
"zipcar",0.1409375,0.3475
"european",0.130625,0.425
"p2p",0.130625,0.4175
"institute",0.180625,0
"countries",0.1796875,0
"virtual",0.178125,0
"hotel",0.0271875,0.33
"apps",0,0.2925
"oil",0.1690625,0
"carbon",0.164375,0
"performance",0.1621875,0
"oxford",0.161875,0
"taxi",0,0
"offers",0.0853125,0.305
"driver",0.041875,0
"corporations",0.1025,0.39
"friends",0.119375,0.255
"buying",0,0.2875
"manufacturing",0.1425,0
"employees",0,0
"adobe",0.1403125,0
"challenges",0.070625,0.25
"rachelbotsman",0.139375,0
"income",0,0.2725
"president",0.136875,0
"library",0.1346875,0
"family",0.1315625,0
"crowdfunding",0.125625,0
"ondemandeconomy",0,0
"urban",0.0809375,0.2975
"retail",0.085625,0.26
"waste",0.118125,0
"association",0.1178125,0
"organization",0.1121875,0
"groups",0.110625,0
"room",0,0.29
"safety",0.0709375,0
"drive",0,0.2625
"crisis",0.1025,0
"regulation",0,0
"canada",0.0975,0
"taskrabbit",0,0.3525
"entrepreneurship",0.095625,0
"nature",0.0946875,0
"jeremiahowyang",0,0.3925
"usa",0.09375,0
"michigan",0.09375,0
"israel",0.0915625,0
"rules",0.03125,0
"fuel",0.09,0
"hardware",0.08875,0
"cultural",0.08875,0
"board",0.0875,0
"amazon",0.086875,0
"infographic",0.0859375,0
"regulations",0,0
"providers",0,0
"students",0.08375,0
"ride",0,0
"carsharing",0.04625,0.2875
"seats",0.08125,0
"crowdsourcing",0.0790625,0
"employment",0.035,0
"coworking",0.075625,0
"programmeoxford",0.075625,0
"driving",0,0.2575
"foundation",0.0746875,0
"career",0.074375,0
"individual",0.0734375,0
"works",0.073125,0
"blogs",0.073125,0
"independent",0,0
"africa",0.07,0
"sell",0,0.2625
"apple",0.0690625,0
"tourism",0.066875,0
"lifestyle",0.066875,0
"natural",0.064375,0
"owners",0.025625,0.3
"california",0.0628125,0
